2024-01-17 17:59:46.693 - INFO     - Starting FReVSys unreleased (Framework v1.2.0; HSE Libs v3.8.0) - startup.vi - 0 - 
2024-01-17 17:59:50.068 - DEBUG    - Loading Event Manager... - startup.vi - 0 - 
2024-01-17 17:59:51.196 - INFO     - Module UI Manager initialised - UI Manager.lvlib:Main.vi.ACBRProxyCaller.1E20009A->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 17:59:51.207 - DEBUG    - Loading UI Manager... - startup.vi - 0 - 
2024-01-17 17:59:55.438 - DEBUG    - Loading "Navigation"... - startup.vi - 0 - 
2024-01-17 17:59:55.440 - INFO     - Module Event Manager initialised - Event Manager.lvlib:Main.vi.ACBRProxyCaller.1D900029->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:00:00.654 - DEBUG    - Loading "Dummy"... - startup.vi - 0 - 
2024-01-17 18:00:02.879 - DEBUG    - Loading "ActorModule"... - startup.vi - 0 - 
2024-01-17 18:00:05.207 - INFO     - Module StateMachine started. - StateMachine.lvlib:Main.vi.ACBRProxyCaller.1F90008A->StateMachine.lvlib:Main.vi - 0 - 
2024-01-17 18:00:05.220 - DEBUG    - Loading "StateMachine"... - startup.vi - 0 - 
2024-01-17 18:00:16.000 - INFO     - Module DBModule started. - DBModule.lvlib:Main.vi.ACBRProxyCaller.1FD00087->DBModule.lvlib:Main.vi - 0 - 
2024-01-17 18:00:16.023 - DEBUG    - Loading "DBModule"... - startup.vi - 0 - 
2024-01-17 18:00:16.634 - DEBUG    - Setting Modules in UI Manager... - startup.vi - 0 - 
2024-01-17 18:00:16.884 - DEBUG    - Setting Modules in Event Manager... - startup.vi - 0 - 
2024-01-17 18:00:16.955 - DEBUG    - Loading Menu... - startup.vi - 0 - 
2024-01-17 18:00:17.075 - INFO     - Module Event Manager configured. - Event Manager.lvlib:Main.vi.ACBRProxyCaller.1D900029->Event Manager.lvlib:Main.vi:4140001 - 0 - 
2024-01-17 18:00:17.080 - DEBUG    - Configure statically loaded modules... - startup.vi - 0 - 
2024-01-17 18:00:17.205 - INFO     - Module UI Manager configured. - UI Manager.lvlib:Main.vi.ACBRProxyCaller.1E20009A->UI Manager.lvlib:Main.vi - 0 - 
2024-01-17 18:00:17.272 - DEBUG    - Configure module Framework\Navigation ... - startup.vi - 0 - 
2024-01-17 18:00:17.337 - DEBUG    - Module Navigation configured - Navigation.lvlib:Main.vi.ACBRProxyCaller.1EA00096->Navigation.lvlib:Main.vi - 0 - 
2024-01-17 18:00:17.355 - DEBUG    - Configure module Modules\Dummy ... - startup.vi - 0 - 
